job_id,job_title,job_title_raw,core_job_title,apply_url,is_expired,source,board_token,requisition_id,company_name,company_website,company_tagline,company_linkedin,company_headquarters,company_founded,company_employees,company_revenue,company_revenue_year,stock_symbol,stock_exchange,is_public_company,company_activities,company_industries,job_category,seniority_level,role_type,commitment,workplace_type,workplace_location,workplace_continents,workplace_countries,workplace_physical_environment,bachelors_required,bachelors_fields,masters_required,masters_fields,doctorate_required,high_school_required,min_industry_experience,min_management_experience,salary_range,yearly_min_salary,yearly_max_salary,hourly_min_salary,hourly_max_salary,compensation_currency,compensation_frequency,is_compensation_transparent,travel_requirement_air,travel_requirement_land,physical_labor_intensity,physical_position,computer_usage,cognitive_demand,oral_communication_level,four_day_work_week,overtime_required,weekend_availability_required,holiday_availability_required,morning_shift,evening_shift,overnight_work,on_call_requirement,401k_matching,retirement_plan,generous_pto,generous_parental_leave,tuition_reimbursement,relocation_assistance,language_requirements,num_language_requirements,driver_license_required,security_clearance,visa_sponsorship,licenses_certifications,technical_tools,role_activities,fair_chance,military_veterans,estimated_publish_date,requirements_summary,description,description_snippet,viewed_by_users_count,hidden_from_users_count
bamboohr___travelzoo___588,Marketing Director,,Marketing Director,https://travelzoo.bamboohr.com/careers/588,False,bamboohr,travelzoo,nlsvv0zzbjz7jmok,Travelzoo,travelzoo.com,"Travelzoo Inc. is an Internet company that publishes deals from more than 2,000 travel, entertainment and local businesses such as restaurants and spas. It has 28 million members in North America, Europe, and Asia Pacific and 25 offices worldwide.",linkedin.com/company/travelzoo,United States,1998.0,223.0,84477000.0,2023.0,TZOO,Nasdaq (NASDAQ),True,"mass media, coworking space, tech startup, media, advertising, internet, advertising and marketing services, internet publishing, broadcasting and search portals, professional services sector, business services, depository institutions, services-advertising, services-computer integrated systems design, computer integrated systems design, merchant marketing software, b2b marketplaces, communications, internet media and services, consumer discretionary, advertising agencies, communication services, zoos, computer network design and systems, travel agencies, computer online services, internet products and services, public company, e-commerce, leisure, travel, community, local and travel website, online travel agency, internet services, entertainment, ecommerce, online, publisher, local deals, membership, tourism boards, hotels, internet publishing, internet service, software development, computer software","Tourism Agencies, Consumer Service Companies",Marketing,Senior Level,People Manager,Full Time,Onsite,"New York, New York, United States",North America,US,Office,Required,"Marketing, Business, Communications",Not Mentioned,Not specified,Not Mentioned,True,8.0,1.0,"$135,000 - $175,000",135000.0,175000.0,64.90384615384616,84.13461538461539,USD,Yearly,True,None,None,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,Not specified,"lead marketing strategy, drive cross-channel campaigns, manage team and stakeholders",False,False,2025-09-11T00:00:00.000Z,8+ years brand marketing; leadership experience; cross-channel marketing; travel/lifestyle brands preferred.,,,0,0
lever___kasheesh___c4b2787b-ef23-48b7-94f4-c333a906678d,Marketing Director,,Marketing Director,https://jobs.lever.co/kasheesh/c4b2787b-ef23-48b7-94f4-c333a906678d/apply,False,lever,kasheesh,75g4xsrqu6fp4h6e,Kasheesh,kasheesh.co,"Forget about loans. With Kasheesh, you gain the superpower of combining any of your credit & debit cards into one Super Card. Budget management becomes more flexible, and you can afford more your way.",linkedin.com/company/kasheesh,United States of America,2020.0,16.0,,,,,False,"financial services, credit and debit cards, fintech","Payment Service Providers, Financial Technology Companies, Financial Services Companies",Marketing,Senior Level,People Manager,Full Time,Hybrid,"New York City, New York, United States",North America,US,Office,Not Mentioned,Not specified,Not Mentioned,Not specified,Not Mentioned,False,5.0,3.0,"$145,000 - $165,000",145000.0,165000.0,69.71153846153847,79.32692307692308,USD,Yearly,True,None,None,Low,Sitting,High,Medium,Medium,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,True,True,False,False,False,False,English,1,False,None,False,Not specified,"Notion, Canva, Google Slides","learn marketing, set strategy, launch campaigns",False,False,2025-09-12T16:00:54.622Z,"5+ years in growth marketing at a fast-growing startup; experience leading a marketing function; proven growth campaign performance; proficient with Notion, Canva, Google Slides.",,,0,0
workday___spgi-wd5-spgi_careers___associate-marketing-director_316639-1,Associate Marketing Director,,Marketing Director,https://spgi.wd5.myworkdayjobs.com/spgi_careers/job/New-York-NY/Associate-Marketing-Director_316639-1,False,workday,spgi-wd5-spgi_careers,m0wsz2cst48o7nhc,S&P Global,spglobal.com,"S&P Global Inc. provides clients with financial information services. The Company offers information regarding ratings, benchmarks, and analytics in the global capital and commodity markets. S&P Global operates worldwide.",linkedin.com/company/spglobal,United States of America,1888.0,40450.0,12497000000.0,2023.0,SPGI,New York Stock Exchange (NYSE),True,"financial services, information, consumer credit reporting agencies, mercantile reporting agencies, books: publishing, or publishing and printing, media, credit reporting services, business services sector, publishers, welding repair, miscellaneous publishing, book publishers, business services, books: publishing or publishing and printing, depository institutions, printing, publishing, and allied industries, printing and publishing, services-consumer credit reporting, collection agencies, finance, periodical publishers, periodicals: publishing, or publishing and printing, legal service, bank, event space, business and professional services, analytics, information services, information technology, marketing consultants, financial service, venture capital, software, big data, banking, enterprise software, market research, credit, business intelligence, auditorium, building, finance: consumer services, financial data and stock exchanges, information service activities, computer software publishers and developers, real estate developers, financial planning consultants, print media, mass media, technology services, software and tech services, enterprise, public company, business unit, capital markets, industrial services, commercial support services, industrials, financial research software, financial services software, vertical industry software, publishing of newspapers, reviews and bulletins, newspapers, press, journals, business consultant, investment bank, book publishing, publishing of journals and periodicals, publishing of newspapers, journals and periodicals, publishing of newspapers, intelligence, sustainable finance, esg, commodities, portfolio and enterprise risk solutions, energy and commodities information, benchmarks, credit ratings, specialty finance, financials, financial data providers","Financial Data Vendors, Financial Services Companies, Book Publishing Companies, Software Companies, Media And Information Companies, Financial Technology Companies, Publishing Companies, Data Providers",Marketing,Senior Level,People Manager,Full Time,Onsite,"New York, New York, United States",North America,US,Office,Required,"Marketing, Communications, Business",Not Mentioned,Not specified,Not Mentioned,True,8.0,,"$102,387 - $149,350",102387.0,149350.0,49.22451923076923,71.80288461538461,USD,Yearly,True,Minimal,Minimal,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,"Salesforce, Marketo, AI-driven marketing tools","Develop marketing plans, Own end-to-end campaigns, Lead product marketing campaigns",False,False,2025-09-03T00:00:00.000Z,"8+ years B2B marketing in financial services; Bachelor’s in Marketing/Business; independent, collaborative leader; strong digital, social, and event marketing; excellent communication and strategic thinking.",,,0,0
workable___channel_factory___3596DC1271,"Marketing Director, US",,Marketing Director,https://apply.workable.com/j/3596DC1271,False,workable,channel_factory,2jk4zuv30zrlcki0,Channel Factory,channelfactory.com,"Channel Factory is the world leader in YouTube brand suitability, content alignment and ad performance.",linkedin.com/company/channel-factory,United States,2010.0,430.0,,,,,False,"video, advertising, tech startup, manufacturer, factory, business center, club house, saas, analytics, video streaming, brand suitability, video advertising, media buying, marketingandadvertising, content targeting, audience analytics and insights, digital advertising, brand safety, youtube advertising, resale shops, thrift shops, advertising agency, commercial and industrial, broadcasting and media production company, motion picture and video distribution, motion picture and video tape distribution, advertising services, advertising agencies","Advertising Companies, Professional Service Companies, Marketing Companies",Marketing,Mid Level,People Manager,Full Time,Onsite,"New York, New York, United States",North America,US,Office,Required,Not specified,Not Mentioned,Not specified,Not Mentioned,True,,,Not specified,,,,,USD,Yearly,False,None,None,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,True,True,False,False,False,English,1,False,None,False,Not specified,"HubSpot, PPT, Google Suite, CRM","lead strategy, build campaigns, manage team",True,False,2025-09-02T20:32:58.000Z,"Mid-Senior level marketing leader with B2B demand generation and field marketing experience, team leadership, and cross-functional collaboration.",,,0,0
workday___hntb-wd5-hntb_careers___division-marketing-director_r-27454,Division Marketing Director,,Division Marketing Director,https://hntb.wd5.myworkdayjobs.com/hntb_careers/job/New-York-NY/Division-Marketing-Director_R-27454,False,workday,hntb-wd5-hntb_careers,khllz0ya3rqxp3j8,HNTB,hntb.com,"HNTB Corporation provides infrastructure related services. The Company offers planning, design, program management, and construction management services. HNTB operates throughout the United States.",linkedin.com/company/10235,United States of America,1914.0,7200.0,3000000000.0,2023.0,,,False,"engineering, consulting, real estate, legal, construction management, engineering activities and related technical consultancy, professional engineers, designing engineers, all-electronic tolling, financial resources, infrastructure solutions, design build, program management, sports architecture, asset management, aviation, bridges, water, tolls, tunnels, planning, civil engineering, transit, construction, freight rail, highways, high-speed rail, architecture, engineering and construction, industrial services, industrials, consulting engineers, electrical engineers, civil engineers, professional engineer, architectural and engineering services, professional services sector, engineering services, interior design services, architectural services, civil engineer, construction and engineering","Engineering Consulting Firms, Professional Service Companies, Construction Companies, Architecture Firms, Design Companies, General Contractors",Marketing,Senior Level,People Manager,Full Time,Onsite,New York or Boston,North America,US,Office,Required,"Business, Marketing",Not Mentioned,Not specified,Not Mentioned,True,10.0,2.0,Not specified,,,,,USD,Yearly,False,None,None,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,Not specified,"lead marketing, develop strategy, manage staff",False,False,2025-09-09T00:00:00.000Z,Bachelor’s degree in Business/Marketing and 10 years marketing experience including 2+ years supervisory; AE/C marketing management preferred.,,,0,0
adp___31839bbe-05e1-4311-9683-1302247ca5d4___552978,Marketing Director- Outdoor Retailer,,Marketing Director,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=31839bbe-05e1-4311-9683-1302247ca5d4&jobId=552978,False,adp,31839bbe-05e1-4311-9683-1302247ca5d4,602aeomxtsyo04wa,Emerald Holding,emeraldx.com,"Emerald Holding, Inc.  is a US-based owner and operator of B2B events spanning trade shows, conferences, B2C showcases and a scaled hosted buyer platform. Emerald also delivers solutions across its content and e-commerce marketplace.",linkedin.com/company/emerald-holdings-inc,United States,2013.0,697.0,398800000.0,2024.0,EEX,New York Stock Exchange (NYSE),True,"textiles store, business services, industrial services, commercial support services, industrials, activities of call centres, professional, scientific and technical activities, reservation service and related activities, sound recording and music publishing activities, architectural activities, specialized design activities, engineering activities and related technical consultancy, specialised design activities, personal services, postal service, telephone answering services, specialized design services, convention and trade show organizers, advertising, repossession services, professional, scientific, and technical services, telemarketing bureaus and other contact centers, building inspection services, collection agencies, translation and interpretation activities, support services, sound recording studios, tobacco manufacturing, sound recording industries, private mail centers, textile and fabric finishing mills, business support services, industrial design services, advertising material distribution services, business support service activities, legal activities, document preparation services, packaging and labeling services, interior design services, miscellaneous textile product mills, convention and visitors bureaus, surveying and mapping services, services related to advertising, business service centers, legal services, financial transactions processing, reserve, and clearinghouse activities, miscellaneous chemical product and preparation manufacturing, drycleaning and laundry services, wholesale trade agents and brokers, drafting services, travel arrangement and reservation services, translation and interpretation services, packaging activities, support activities for road transportation, manufacture of tobacco products, services to buildings and dwellings, media representation, postal activities, washing andcleaning of textile and fur products, postal activities under universal service obligation, organization of conventions and trade shows, information services, activities auxiliary to financial service activities, organisation of conventions and trade shows, data processing, hosting, and related services, car rental: tourism and commercial, advertising agencies, communication services, manufacturer, services-business services, depository institutions, knit goods, media, holding companies and groups of companies, retail","Professional Service Companies, Marketing Companies",Marketing,Senior Level,People Manager,Full Time,Hybrid,San Juan Capistrano or United States or New York or Alpharetta,North America,US,Office,Not Mentioned,Not specified,Not Mentioned,Not specified,Not Mentioned,False,,,"$90,000 - $100,000",90000.0,100000.0,43.26923076923077,48.07692307692308,USD,Yearly,True,None,Minimal,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,True,True,False,True,True,False,English,1,False,None,False,Not specified,"Marketing Automation, Web Analytics, Email Marketing Platforms, Social Media Management Tools, Content Management Systems","direct marketing, manage team, analyze performance",True,False,2025-09-12T17:29:00.000Z,Lead development and execution of marketing strategy for Outdoor Retailer; manage teams; leverage digital marketing and analytics to drive revenue and attendee growth.,,,0,0
grnhse___cultureamp___7217240,"Director, Marketing Operations",,"Director, Marketing Operations",https://job-boards.greenhouse.io/cultureamp/jobs/7217240,False,grnhse,cultureamp,vy68454tz2xepnlp,Culture Amp,cultureamp.com,"<p><iframe src=""https://player.vimeo.com/video/777342745?h=8f5e08ffda"" width=""640"" height=""360""></iframe></p>",linkedin.com/company/cultureamp,Australia,2009.0,350.0,,,,,False,"analytics, tech startup, building, event space, business service, enterprise software, saas, human resources, software, software and tech services, performance management systems, hr software, marketplace apps, office software, employee engagement software, sap store software, talent management software, pulse surveys, employee intelligence, annual surveys, on-boarding surveys, people analytics, engagement surveys, employee engagement, exit surveys, diversity and inclusion, employee feedback, software development, dei, employee experience, performance management, information technology service activities, internet company, exit interviews, information technology and services",Software Companies,Marketing,Senior Level,People Manager,Full Time,Hybrid,Chicago or Austin or New York or San Francisco,North America,US,Office,Not Mentioned,Not specified,Not Mentioned,Not specified,Not Mentioned,False,,,"$181,500 - $235,000",181500.0,235000.0,87.25961538461539,112.98076923076923,USD,Yearly,True,None,None,Low,Sitting,High,High,Medium,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,Not specified,"Shape strategy, Advance integration, Operationalize insights",False,False,2025-09-02T23:57:04.000Z,"Experience leading marketing operations in high-growth SaaS or B2B tech; hands-on with marketing automation, CRM, ABX platforms; data-driven, AI-enabled; cross-functional leadership.",,,0,0
grnhse___cultureamp___7217244,"Director, Marketing Operations",,"Director, Marketing Operations",https://job-boards.greenhouse.io/cultureamp/jobs/7217244,False,grnhse,cultureamp,vdynv2fbmx59vzbo,Culture Amp,cultureamp.com,"<p><iframe src=""https://player.vimeo.com/video/777342745?h=8f5e08ffda"" width=""640"" height=""360""></iframe></p>",linkedin.com/company/cultureamp,Australia,2009.0,350.0,,,,,False,"analytics, tech startup, building, event space, business service, enterprise software, saas, human resources, software, software and tech services, performance management systems, hr software, marketplace apps, office software, employee engagement software, sap store software, talent management software, pulse surveys, employee intelligence, annual surveys, on-boarding surveys, people analytics, engagement surveys, employee engagement, exit surveys, diversity and inclusion, employee feedback, software development, dei, employee experience, performance management, information technology service activities, internet company, exit interviews, information technology and services",Software Companies,Marketing,Senior Level,People Manager,Full Time,Onsite,New York or Austin or Chicago or San Francisco,North America,US,Office,Required,"Marketing, Business",Preferred,"Marketing, Business Administration",Not Mentioned,True,,,"$181,500 - $235,000",181500.0,235000.0,87.25961538461539,112.98076923076923,USD,Yearly,True,None,None,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,"Marketing Automation, CRM, Prospect Engagement Tools, ABX Platforms","Shape strategy, Integrate technology, Drive insights",False,False,2025-09-02T23:57:05.000Z,"Experienced marketing operations leader in high-growth SaaS; proficient with marketing automation, CRM, ABX platforms; data-driven, AI-enabled, cross-functional collaboration.",,,0,0
grnhse___cultureamp___7217239,"Director, Marketing Operations",,"Director, Marketing Operations",https://job-boards.greenhouse.io/cultureamp/jobs/7217239,False,grnhse,cultureamp,co22np5td4nkh1dg,Culture Amp,cultureamp.com,"<p><iframe src=""https://player.vimeo.com/video/777342745?h=8f5e08ffda"" width=""640"" height=""360""></iframe></p>",linkedin.com/company/cultureamp,Australia,2009.0,350.0,,,,,False,"analytics, tech startup, building, event space, business service, enterprise software, saas, human resources, software, software and tech services, performance management systems, hr software, marketplace apps, office software, employee engagement software, sap store software, talent management software, pulse surveys, employee intelligence, annual surveys, on-boarding surveys, people analytics, engagement surveys, employee engagement, exit surveys, diversity and inclusion, employee feedback, software development, dei, employee experience, performance management, information technology service activities, internet company, exit interviews, information technology and services",Software Companies,Marketing,Senior Level,People Manager,Full Time,Hybrid,San Francisco or New York or Austin or Chicago,North America,US,Office,Required,Not specified,Preferred,"Marketing, Business Administration, Economics",Not Mentioned,True,,,"$181,500 - $235,000",181500.0,235000.0,87.25961538461539,112.98076923076923,USD,Yearly,True,None,None,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,"Hubspot, Marketo, Salesforce, Outreach, 6Sense","shape strategy, drive automation, optimize insights",False,False,2025-09-02T23:57:03.000Z,"Senior-level leadership in marketing or revenue operations within a high-growth SaaS/B2B tech environment; strong experience with marketing automation, CRM, ABX, and AI-driven tools.",,,0,0
grnhse___cultureamp___7217242,"Director, Marketing Operations",,"Director, Marketing Operations",https://job-boards.greenhouse.io/cultureamp/jobs/7217242,False,grnhse,cultureamp,va5tee1w7ybkns2l,Culture Amp,cultureamp.com,"<p><iframe src=""https://player.vimeo.com/video/777342745?h=8f5e08ffda"" width=""640"" height=""360""></iframe></p>",linkedin.com/company/cultureamp,Australia,2009.0,350.0,,,,,False,"analytics, tech startup, building, event space, business service, enterprise software, saas, human resources, software, software and tech services, performance management systems, hr software, marketplace apps, office software, employee engagement software, sap store software, talent management software, pulse surveys, employee intelligence, annual surveys, on-boarding surveys, people analytics, engagement surveys, employee engagement, exit surveys, diversity and inclusion, employee feedback, software development, dei, employee experience, performance management, information technology service activities, internet company, exit interviews, information technology and services",Software Companies,Information Technology,Senior Level,People Manager,Full Time,Hybrid,Austin or Chicago or New York or San Francisco,North America,US,Office,Required,"Marketing, Business, Computer Science",Not Mentioned,Not specified,Not Mentioned,True,7.0,5.0,"$181,500 - $235,000",181500.0,235000.0,87.25961538461539,112.98076923076923,USD,Yearly,True,None,None,Low,Sitting,High,High,High,False,False,False,False,Not Indicated,Not Indicated,Not Indicated,None,False,False,False,False,False,False,English,1,False,None,False,Not specified,"HubSpot, Marketo, Salesforce, Outreach, 6Sense","shape strategy, lead integration, optimize analytics",False,False,2025-09-02T23:57:05.000Z,"Leadership in marketing or revenue operations in a high-growth SaaS environment; hands-on with marketing automation, CRM, ABX platforms; data-driven, AI-enabled optimization.",,,0,0
